CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO,INVENTORY_ID,COMPANY_NAME,PACKAGE_ID
1e7a2e4d-6db1-438c-8a4a-31e5e302df16,8910300000001884673,DATA,2023-05-26T04:41:45.000Z,2023-05-26T04:42:55.000Z,846,,,,COL,Colombia,732,123,23,240075900054787,48321,CLIENTE D,
f66f9b43-b999-47e3-8acd-b2e5cf1ac3bf,8910300000003489375,DATA,2023-05-25T20:36:55.000Z,2023-05-26T04:42:59.000Z,101757,,,,COL,Colombia,732,101,10,525053099799008,48321,CLIENTE D,
0296c279-2f2f-4427-865e-eafc9b7271cf,8910300000001886895,DATA,2023-05-26T03:56:09.000Z,2023-05-26T04:42:58.000Z,4964,,,,COL,Colombia,732,123,23,240075900057009,48321,CLIENTE D,
0a7a0018-0789-47ce-abdb-9479b974aafc,8910300000003489838,DATA,2023-05-26T02:08:50.000Z,2023-05-26T04:43:01.000Z,23982,,,,COL,Colombia,732,123,10,525053099799471,48321,CLIENTE D,
2fa6f785-8024-40a9-9dbf-31e19ab91b01,8910300000001887439,DATA,2023-05-26T04:35:18.000Z,2023-05-26T04:43:03.000Z,805,,,,COL,Colombia,732,123,23,240075900057553,48321,CLIENTE D,
94950fc0-dabf-4f56-a7b4-caf9c8439718,8910300000003570169,DATA,2023-05-26T04:02:00.000Z,2023-05-26T04:43:04.000Z,1257,,,,COL,Colombia,732,101,26,454006330022423,48321,CLIENTE D,
0f999080-9838-4c32-98aa-184008b7a1e9,8910300000003500657,DATA,2023-05-26T04:41:33.000Z,2023-05-26T04:43:04.000Z,1886,,,,COL,Colombia,732,101,23,240075900194884,48321,CLIENTE D,
559f5da4-29e8-4f26-b907-3042868670d2,8910300000001887338,DATA,2023-05-26T04:42:51.000Z,2023-05-26T04:43:08.000Z,1008,,,,COL,Colombia,732,123,23,240075900057452,48321,CLIENTE D,
3888dae2-af88-471e-b37f-cd8980fbee97,8910300000003500587,DATA,2023-05-26T04:31:32.000Z,2023-05-26T04:43:17.000Z,2488,,,,COL,Colombia,732,123,23,240075900194814,48321,CLIENTE D,
b6ce2230-13a6-429a-8957-2f7c31b83020,8910300000003490902,DATA,2023-05-26T04:42:48.000Z,2023-05-26T04:43:20.000Z,328,,,,COL,Colombia,732,123,10,525053099808213,48321,CLIENTE D,
0a7d7b86-b362-4abc-beb0-915919494a9a,8910300000001887227,DATA,2023-05-25T20:39:15.000Z,2023-05-26T04:43:21.000Z,20373,,,,COL,Colombia,732,123,23,240075900057341,48321,CLIENTE D,
d1513574-4abb-4a40-b065-e31145a7f7a1,8910300000003489358,DATA,2023-05-26T04:43:04.000Z,2023-05-26T04:43:24.000Z,576,,,,COL,Colombia,732,123,10,525053099798991,48321,CLIENTE D,
4ee832e2-c1e5-4eba-a82f-0c95b4f91ae7,8910300000001881626,DATA,2023-05-26T00:13:36.000Z,2023-05-26T04:43:26.000Z,71464,,,,COL,Colombia,732,101,10,525053099290581,48321,CLIENTE D,
a88d1b15-a1bf-4156-b654-c27d8fa3a111,8910300000001881419,DATA,2023-05-26T01:40:48.000Z,2023-05-26T04:43:26.000Z,48768,,,,COL,Colombia,732,101,10,525053099290374,48321,CLIENTE D,
f27cad09-41f5-4a79-ad8c-e82b98fc53d7,8910300000001885264,DATA,2023-05-26T04:21:11.000Z,2023-05-26T04:43:28.000Z,2945,,,,COL,Colombia,732,123,23,240075900055378,48321,CLIENTE D,
29e97d13-2745-43eb-bd17-bb869ac508be,8910300000001881510,DATA,2023-05-26T02:08:25.000Z,2023-05-26T04:43:26.000Z,6010,,,,COL,Colombia,732,101,10,525053099290465,48321,CLIENTE D,
89136d7a-296a-4415-b617-fe8e9b95a96d,8910300000003570195,DATA,2023-05-25T18:53:34.000Z,2023-05-26T04:43:28.000Z,208644,,,,COL,Colombia,732,123,26,454006330022449,48321,CLIENTE D,
55e2c116-75c2-4edd-b900-7afa4055dc72,8910300000001885252,DATA,2023-05-26T04:42:38.000Z,2023-05-26T04:43:29.000Z,1572,,,,COL,Colombia,732,123,23,240075900055366,48321,CLIENTE D,
dafd21c1-b423-4154-b94d-27559a188fd0,8910300000003570481,DATA,2023-05-25T13:27:25.000Z,2023-05-26T04:43:36.000Z,107160,,,,COL,Colombia,732,101,26,454006330022735,48321,CLIENTE D,
b51b8501-dcf8-4438-a82a-6ad2fdffc2e6,8910300000004542135,DATA,2023-05-25T23:56:38.000Z,2023-05-26T04:43:35.000Z,23007,,,,COL,Colombia,732,123,26,454006330043890,48321,CLIENTE D,
de2c21c8-8b51-42e8-8b38-f9d661467c3f,8910300000003489639,DATA,2023-05-26T02:40:27.000Z,2023-05-26T04:43:36.000Z,67384,,,,COL,Colombia,732,101,10,525053099799272,48321,CLIENTE D,
c1902457-f197-47bd-be7b-aef241d8672e,8910300000003487812,DATA,2023-05-26T01:39:24.000Z,2023-05-26T04:43:36.000Z,16543,,,,COL,Colombia,732,101,10,525053099797445,48321,CLIENTE D,
160a8985-f0d1-44f0-90b1-eaa8eb188c61,8910300000004547174,DATA,2023-05-26T03:41:26.000Z,2023-05-26T04:43:36.000Z,11508,,,,COL,Colombia,732,101,26,454006330048929,48321,CLIENTE D,
